m/z,A_APCKRAS_intensities,B_APC_intensities,G_APC_intensities,C_APC_intensities,D_APCKRAS_intensities,E_APCKRAS_intensities
661.537999998186,116467.837431909,291154.332817951,125117.09841593,241940.045998822,210913.450454395,850109.906935284
684.525999997642,73611.8585082806,142967.938517999,58822.2370761661,106362.428030386,116155.281020533,502713.333219497
716.521999996885,119365.469237319,224630.130268284,122159.109564864,238737.801882711,150348.550219083,600818.360974564
722.509999996744,323477.857645486,554136.784415957,308144.055634571,489247.780542764,415215.299151488,1095617.68471116
736.64199999641,113548.379298841,85299.2692310528,64933.5402716268,128695.271267296,187759.68291913,369792.868228933
743.539999996247,91668.3326751665,131185.040563906,61426.686887718,119308.546715834,113864.474695687,459617.849623302
748.519999996129,368671.624058168,721737.333654928,397575.020332771,683354.333367641,570030.483086113,2011083.27999108
750.537999996081,255198.76555498,364071.949201009,206242.088691636,344826.525255954,328402.467781181,946359.706517429
764.51999999575,147418.325838772,232421.359234223,110104.554345964,180801.613904021,163523.38771113,514967.201173756
772.525999995561,119987.760355881,164763.508611705,91981.9736352465,158963.239950082,169936.220266028,539531.16285182
858.517999993528,90849.8177673846,153395.874700319,82206.1206465506,166416.089966016,104650.80522936,523039.222698183
861.545999993456,166936.292158043,336096.689895262,178429.845983018,388924.63202529,245287.615532066,1797330.20972902
864.565999993385,87737.509689632,181334.392053536,99033.9908011214,218592.459570521,136881.33006999,835350.64164658
883.531999992936,112953.705706872,196301.220715977,115715.915674269,231786.871609226,140950.258690618,804275.280809479
884.531999992913,67257.7936612073,120680.653318784,66184.4850193779,144243.472972831,87996.8962487508,463795.784614559
889.571999992793,72048.7174621011,155161.928023589,65763.0668966193,147620.115871075,108110.435115887,529412.974456507
